KODE KPI,NAMA UNIT,KATEGORI UNIT,BOBOT,TARGET BULANAN,TARGET TAHUNAN,REALISASI,ACH BULANAN,KPI BULANAN,ACH TAHUNAN,KPI TAHUNAN
C.AVG EMAS,10721:UPC SIMPANG PERIUK,GADAI,10,2026021023,2373999134,3801176043,1.876177986234055,18.76177986234055,1.601169936652555,16.011699366525548
A.AVG GADAI,17409:BRI UNIT TANJUNG BARU,COLO,12.5,201732292,215687674,253141786,1.2548401819575816,15.685502274469771,1.1736497561747548,14.670621952184435
A.AVG GADAI,17319:UPC BRI UNIT SUNGAI LILIN,COLO,12.5,705004871,748153565,866356207,1.2288655619799256,15.36081952474907,1.1579924864756876,14.474906080946095
A.AVG GADAI,17054:UPC BRI UNIT IPUH,COLO,12.5,1802463981,1912673548,2177348185,1.207984297024352,15.0998037128044,1.1383794099504114,14.229742624380142
A.AVG GADAI,10615:UPC SIRINGAGUNG,GADAI,12.5,17971803194,19086996897,21616037057,1.2027750818135294,15.034688522669118,1.132500684819491,14.156258560243637
A.AVG GADAI,17417:BRI UNIT PAGAR DEWA,COLO,12.5,1803423578,1913709327,2165316040,1.2006696964677257,15.008371205846572,1.1314759297298445,14.143449121623055
A.AVG GADAI,10594:UPC GUNUNG SUGIH,GADAI,12.5,8044035150,8544943336,9648419910,1.199450242332668,14.99312802915835,1.129137962723642,14.114224534045524
C.AVG EMAS,17468:BRI UNIT MARIANA,COLO,10,339974803,407345103,573685908,1.687436548055004,16.87436548055004,1.408353515913017,14.08353515913017
A.AVG GADAI,17120:UPC BRI UNIT SUMBER BENING,COLO,12.5,1556282731,1651482557,1836922672,1.1803270931495031,14.754088664368789,1.1122870563869964,13.903588204837455
A.AVG GADAI,17109:UPC BRI UNIT TEBING TINGGI LAHAT,COLO,12.5,3652830336,3876267347,4291825781,1.174931597206271,14.686644965078388,1.1072058237473268,13.840072796841586
A.AVG GADAI,10735:UPC PASAR JAMBI,GADAI,12.5,8960957473,9520420616,10507416321,1.1725774118066725,14.657217647583407,1.103671438984666,13.795892987308326
A.AVG GADAI,17318:UPC BRI UNIT BABAT TOMAN,COLO,12.5,1254217754,1330574388,1467410406,1.1699805726079684,14.624757157599605,1.1028398105615722,13.785497632019652
A.AVG GADAI,10519:UPC A RIVAI,GADAI,12.5,9483042607,10080266278,11054926063,1.1657572913191068,14.571966141488835,1.0966898847828235,13.708623559785293
A.AVG GADAI,17053:UPC BRI UNIT WAY JEPARA,COLO,12.5,2213491039,2348792949,2557941360,1.1556140571301405,14.445175714126757,1.0890450608211528,13.61306326026441
A.AVG GADAI,10523:UPC LINGGA RAYA,GADAI,12.5,11441154970,12148192599,13227342709,1.1561195302120797,14.451494127650996,1.088832153524536,13.6104019190567
A.AVG GADAI,10507:UPC OPI RAYA,GADAI,12.5,21045711259,22347429572,24331687390,1.156135190232394,14.451689877904924,1.0887913221342538,13.609891526678172
A.AVG GADAI,17123:UPC BRI UNIT TEMPINO,COLO,12.5,1654967560,1756150578,1911314122,1.1548952186108108,14.436190232635134,1.0883543506711757,13.604429383389697
C.AVG EMAS,10594:UPC GUNUNG SUGIH,GADAI,10,1287686507,1502232773,2028528285,1.5753277478428995,15.753277478428995,1.3503421849524515,13.503421849524514
A.AVG GADAI,10620:UPC TALANG KELAPA,GADAI,12.5,18685884440,19843218483,21237317860,1.1365433586080766,14.206791982600958,1.070255708679232,13.3781963584904
A.AVG GADAI,10617:UPC PASAR KM 7,GADAI,12.5,17465603798,18536844348,19746261639,1.1305799597527317,14.132249496909147,1.0652439686224418,13.315549607780522
A.AVG GADAI,10609:UPC MALL BUMI KEDATON,GADAI,12.5,10800216055,11468537818,12214264488,1.1309277912403763,14.136597390504704,1.0650236919330356,13.312796149162946
A.AVG GADAI,10702:UPC PASAR ATAS,GADAI,12.5,9137145006,9709522962,10327913143,1.1303216854080864,14.12902106760108,1.0636890384234305,13.296112980292882
A.AVG GADAI,10757:UPC VILLA KENALI,GADAI,12.5,15096156101,16034809304,17047208335,1.1292416573428754,14.115520716785943,1.0631375784897827,13.289219731122284
A.AVG GADAI,17126:UPC BRI UNIT TAMBANG EMAS,COLO,12.5,1318598586,1399132955,1485762416,1.1267738580754099,14.084673225942623,1.0619165324427655,13.273956655534569
A.AVG GADAI,10748:UPC TELANAI PURA,GADAI,12.5,22785808203,24194947879,25666823674,1.1264390292998554,14.080487866248193,1.0608340138759924,13.260425173449905
